aliyah	resource_type	author	url
1	video	NotebookLM	https://youtu.be/ESDTXF4hUPg
2	video	NotebookLM	https://youtu.be/LhgZMYHgDDk
3	video	NotebookLM	https://youtu.be/AKh9Z6Vdm6w
4	video	NotebookLM	https://youtu.be/NgoSJQa_1x4
5	video	NotebookLM	https://youtu.be/WlE9StXd0JY
6	video	NotebookLM	https://youtu.be/289BEbsClgg
7	video	NotebookLM	https://youtu.be/6Qk_7lbP5Bo
