aliyah	resource_type	author	url
1	video	NotebookLM	https://youtu.be/gwB2Q-d9uxc
2	video	NotebookLM	https://youtu.be/bmg1dR4HN30
3	video	NotebookLM	https://youtu.be/9kkOuhOXUP0
4	video	NotebookLM	https://youtu.be/bJz29fjXVE4
5	video	NotebookLM	https://youtu.be/izmyeJ2P_No
6	video	NotebookLM	https://youtu.be/J797bI0CiAo
7	video	NotebookLM	https://youtu.be/nXdmb41rBsk
